wid,name,url,domain
59,232 bhp 1.3L Wankel,https://nfs.fandom.com/wiki/232_bhp_1.3L_Wankel,nfs.fandom.com
60,237 bhp 2.0L I4,https://nfs.fandom.com/wiki/237_bhp_2.0L_I4,nfs.fandom.com
61,247 bhp 2.0L I4,https://nfs.fandom.com/wiki/247_bhp_2.0L_I4,nfs.fandom.com
62,261 bhp 2.0L I4,https://nfs.fandom.com/wiki/261_bhp_2.0L_I4,nfs.fandom.com
63,274 bhp 3.5L I6,https://nfs.fandom.com/wiki/274_bhp_3.5L_I6,nfs.fandom.com
64,276 bhp 1.3L Wankel,https://nfs.fandom.com/wiki/276_bhp_1.3L_Wankel,nfs.fandom.com
65,276 bhp 2.6L I6,https://nfs.fandom.com/wiki/276_bhp_2.6L_I6,nfs.fandom.com
66,276 bhp 3.0L V6,https://nfs.fandom.com/wiki/276_bhp_3.0L_V6,nfs.fandom.com
67,280 bhp 2.6L I6,https://nfs.fandom.com/wiki/280_bhp_2.6L_I6,nfs.fandom.com
68,281 bhp 3.6L F6,https://nfs.fandom.com/wiki/281_bhp_3.6L_F6,nfs.fandom.com
69,282 bhp 4.0L I6,https://nfs.fandom.com/wiki/282_bhp_4.0L_I6,nfs.fandom.com
70,287 bhp 3.5L V6,https://nfs.fandom.com/wiki/287_bhp_3.5L_V6,nfs.fandom.com
71,290 bhp 4.9L V8,https://nfs.fandom.com/wiki/290_bhp_4.9L_V8,nfs.fandom.com
72,291 bhp 2.0L I4,https://nfs.fandom.com/wiki/291_bhp_2.0L_I4,nfs.fandom.com
73,295 bhp 5.7L V8,https://nfs.fandom.com/wiki/295_bhp_5.7L_V8,nfs.fandom.com
74,2nd & Bellevue,https://nfs.fandom.com/wiki/2nd_%26_Bellevue,nfs.fandom.com
75,2nd Promotion Test,https://nfs.fandom.com/wiki/2nd_Promotion_Test,nfs.fandom.com
76,300 bhp 2.5L F4,https://nfs.fandom.com/wiki/300_bhp_2.5L_F4,nfs.fandom.com
77,300 bhp 2.8L F6,https://nfs.fandom.com/wiki/300_bhp_2.8L_F6,nfs.fandom.com
78,304 bhp 3.8L V6,https://nfs.fandom.com/wiki/304_bhp_3.8L_V6,nfs.fandom.com
79,305 bhp 2.0L F4,https://nfs.fandom.com/wiki/305_bhp_2.0L_F4,nfs.fandom.com
80,306 bhp 2.0L I4,https://nfs.fandom.com/wiki/306_bhp_2.0L_I4,nfs.fandom.com
81,306 bhp 3.5L V6,https://nfs.fandom.com/wiki/306_bhp_3.5L_V6,nfs.fandom.com
82,308 bhp 3.6L V6,https://nfs.fandom.com/wiki/308_bhp_3.6L_V6,nfs.fandom.com
83,331 bhp 3.7L V6,https://nfs.fandom.com/wiki/331_bhp_3.7L_V6,nfs.fandom.com
84,335 bhp 3.0L I6,https://nfs.fandom.com/wiki/335_bhp_3.0L_I6,nfs.fandom.com
85,338 bhp 3.2L I6,https://nfs.fandom.com/wiki/338_bhp_3.2L_I6,nfs.fandom.com
86,345 bhp 4.0L V8,https://nfs.fandom.com/wiki/345_bhp_4.0L_V8,nfs.fandom.com
87,349 bhp 3.0L V6,https://nfs.fandom.com/wiki/349_bhp_3.0L_V6,nfs.fandom.com
88,350 bhp 2.3L I4,https://nfs.fandom.com/wiki/350_bhp_2.3L_I4,nfs.fandom.com
89,350 bhp 3.7L V6,https://nfs.fandom.com/wiki/350_bhp_3.7L_V6,nfs.fandom.com
90,355 bhp 2.0L I4,https://nfs.fandom.com/wiki/355_bhp_2.0L_I4,nfs.fandom.com
91,356 A Cup,https://nfs.fandom.com/wiki/356_A_Cup,nfs.fandom.com
92,356 B Endurance,https://nfs.fandom.com/wiki/356_B_Endurance,nfs.fandom.com
93,356 Challenge (Club Race),https://nfs.fandom.com/wiki/356_Challenge_(Club_Race),nfs.fandom.com
94,356 Challenge (Tournament),https://nfs.fandom.com/wiki/356_Challenge_(Tournament),nfs.fandom.com
95,356 Trophy,https://nfs.fandom.com/wiki/356_Trophy,nfs.fandom.com
96,360 Spin,https://nfs.fandom.com/wiki/360_Spin,nfs.fandom.com
97,360 bhp 2.5L F4,https://nfs.fandom.com/wiki/360_bhp_2.5L_F4,nfs.fandom.com
98,366 bhp 2.0L I4,https://nfs.fandom.com/wiki/366_bhp_2.0L_I4,nfs.fandom.com
99,369 bhp 1.5L I3 Hybrid,https://nfs.fandom.com/wiki/369_bhp_1.5L_I3_Hybrid,nfs.fandom.com
100,385 bhp 4.9L F12,https://nfs.fandom.com/wiki/385_bhp_4.9L_F12,nfs.fandom.com
101,390 bhp 7.2L V8,https://nfs.fandom.com/wiki/390_bhp_7.2L_V8,nfs.fandom.com
102,394 bhp 3.8L F6,https://nfs.fandom.com/wiki/394_bhp_3.8L_F6,nfs.fandom.com
103,3 6 1 multipoint,https://nfs.fandom.com/wiki/3_6_1_multipoint,nfs.fandom.com
104,3 6 2 multipoint,https://nfs.fandom.com/wiki/3_6_2_multipoint,nfs.fandom.com
105,3 6 3 multipoint,https://nfs.fandom.com/wiki/3_6_3_multipoint,nfs.fandom.com
106,3rd Promotion Test - Ace Challenge,https://nfs.fandom.com/wiki/3rd_Promotion_Test_-_Ace_Challenge,nfs.fandom.com
107,400 BHP Tournament,https://nfs.fandom.com/wiki/400_BHP_Tournament,nfs.fandom.com
108,400 bhp 3.0L V6 (Pro),https://nfs.fandom.com/wiki/400_bhp_3.0L_V6_(Pro),nfs.fandom.com
109,400 bhp 3.0L V6 (Sport),https://nfs.fandom.com/wiki/400_bhp_3.0L_V6_(Sport),nfs.fandom.com
110,400 bhp 3.5L V6,https://nfs.fandom.com/wiki/400_bhp_3.5L_V6,nfs.fandom.com
111,404 bhp 3.0L I6,https://nfs.fandom.com/wiki/404_bhp_3.0L_I6,nfs.fandom.com
112,40 bhp 1.2L F4,https://nfs.fandom.com/wiki/40_bhp_1.2L_F4,nfs.fandom.com
113,414 bhp 3.8L F6,https://nfs.fandom.com/wiki/414_bhp_3.8L_F6,nfs.fandom.com
114,414 bhp 4.0L F6,https://nfs.fandom.com/wiki/414_bhp_4.0L_F6,nfs.fandom.com
115,414 bhp 4.0L V8,https://nfs.fandom.com/wiki/414_bhp_4.0L_V8,nfs.fandom.com
116,425 bhp 3.0L I6,https://nfs.fandom.com/wiki/425_bhp_3.0L_I6,nfs.fandom.com
117,425 bhp 7.0L V8,https://nfs.fandom.com/wiki/425_bhp_7.0L_V8,nfs.fandom.com
118,435 bhp 5.0L V8,https://nfs.fandom.com/wiki/435_bhp_5.0L_V8,nfs.fandom.com
119,444 bhp 3.0L F6,https://nfs.fandom.com/wiki/444_bhp_3.0L_F6,nfs.fandom.com
120,449 bhp 5.2L V12,https://nfs.fandom.com/wiki/449_bhp_5.2L_V12,nfs.fandom.com
121,450 bhp 3.5L V6,https://nfs.fandom.com/wiki/450_bhp_3.5L_V6,nfs.fandom.com
122,453 bhp 3.0L I6,https://nfs.fandom.com/wiki/453_bhp_3.0L_I6,nfs.fandom.com
123,456 bhp 4.0L V8,https://nfs.fandom.com/wiki/456_bhp_4.0L_V8,nfs.fandom.com
124,460 bhp 5.0L V8,https://nfs.fandom.com/wiki/460_bhp_5.0L_V8,nfs.fandom.com
125,460 bhp 6.2L V8,https://nfs.fandom.com/wiki/460_bhp_6.2L_V8,nfs.fandom.com
126,466 bhp Forged 2.0L I4,https://nfs.fandom.com/wiki/466_bhp_Forged_2.0L_I4,nfs.fandom.com
127,469 bhp 4.0L V8,https://nfs.fandom.com/wiki/469_bhp_4.0L_V8,nfs.fandom.com
128,470 bhp 6.4L V8,https://nfs.fandom.com/wiki/470_bhp_6.4L_V8,nfs.fandom.com
129,471 bhp 2.9L V8,https://nfs.fandom.com/wiki/471_bhp_2.9L_V8,nfs.fandom.com
130,474 bhp 4.0L V8,https://nfs.fandom.com/wiki/474_bhp_4.0L_V8,nfs.fandom.com
131,493 bhp 3.0L I6,https://nfs.fandom.com/wiki/493_bhp_3.0L_I6,nfs.fandom.com
132,495 bhp 6.2L V8,https://nfs.fandom.com/wiki/495_bhp_6.2L_V8,nfs.fandom.com
133,4Nations Speed Tour,https://nfs.fandom.com/wiki/4Nations_Speed_Tour,nfs.fandom.com
134,4 6 1 multipoint,https://nfs.fandom.com/wiki/4_6_1_multipoint,nfs.fandom.com
135,500 bhp 5.0L V8,https://nfs.fandom.com/wiki/500_bhp_5.0L_V8,nfs.fandom.com
136,503 bhp 3.0L I6,https://nfs.fandom.com/wiki/503_bhp_3.0L_I6,nfs.fandom.com
137,503 bhp 4.0L V8,https://nfs.fandom.com/wiki/503_bhp_4.0L_V8,nfs.fandom.com
138,504 bhp 7.0L V8,https://nfs.fandom.com/wiki/504_bhp_7.0L_V8,nfs.fandom.com
139,505 bhp 2.9L V6,https://nfs.fandom.com/wiki/505_bhp_2.9L_V6,nfs.fandom.com
140,506 bhp 7.0L V8,https://nfs.fandom.com/wiki/506_bhp_7.0L_V8,nfs.fandom.com
141,507 bhp Forged 1.3L Wankel,https://nfs.fandom.com/wiki/507_bhp_Forged_1.3L_Wankel,nfs.fandom.com
142,513 bhp 4.0L F6,https://nfs.fandom.com/wiki/513_bhp_4.0L_F6,nfs.fandom.com
143,515 bhp 4.0L V8,https://nfs.fandom.com/wiki/515_bhp_4.0L_V8,nfs.fandom.com
144,523 bhp 5.7L V12,https://nfs.fandom.com/wiki/523_bhp_5.7L_V12,nfs.fandom.com
145,523 bhp Forged 3.5L V6,https://nfs.fandom.com/wiki/523_bhp_Forged_3.5L_V6,nfs.fandom.com
146,542 bhp 4.0L V8,https://nfs.fandom.com/wiki/542_bhp_4.0L_V8,nfs.fandom.com
147,542 bhp Forged 2.0L I4,https://nfs.fandom.com/wiki/542_bhp_Forged_2.0L_I4,nfs.fandom.com
148,549 bhp 4.0L V8,https://nfs.fandom.com/wiki/549_bhp_4.0L_V8,nfs.fandom.com
149,550 A Trophy,https://nfs.fandom.com/wiki/550_A_Trophy,nfs.fandom.com
150,550 Spyder Cup,https://nfs.fandom.com/wiki/550_Spyder_Cup,nfs.fandom.com
151,562 bhp 3.8L V6,https://nfs.fandom.com/wiki/562_bhp_3.8L_V6,nfs.fandom.com
152,562 bhp 3.8L V8,https://nfs.fandom.com/wiki/562_bhp_3.8L_V8,nfs.fandom.com
153,563 bhp 5.5L V8,https://nfs.fandom.com/wiki/563_bhp_5.5L_V8,nfs.fandom.com
154,564 bhp Forged 2.5L F4,https://nfs.fandom.com/wiki/564_bhp_Forged_2.5L_F4,nfs.fandom.com
155,567 bhp 4.4L V8,https://nfs.fandom.com/wiki/567_bhp_4.4L_V8,nfs.fandom.com
156,570 bhp 4.5L V8,https://nfs.fandom.com/wiki/570_bhp_4.5L_V8,nfs.fandom.com
157,572 bhp 5.2L V10,https://nfs.fandom.com/wiki/572_bhp_5.2L_V10,nfs.fandom.com
158,573 bhp 3.5L V6 Hybrid,https://nfs.fandom.com/wiki/573_bhp_3.5L_V6_Hybrid,nfs.fandom.com
159,575 bhp 5.0L V8,https://nfs.fandom.com/wiki/575_bhp_5.0L_V8,nfs.fandom.com
160,577 bhp 4.0L V8,https://nfs.fandom.com/wiki/577_bhp_4.0L_V8,nfs.fandom.com
161,584 bhp 2.9L F6,https://nfs.fandom.com/wiki/584_bhp_2.9L_F6,nfs.fandom.com
162,585 bhp 5.0L V8,https://nfs.fandom.com/wiki/585_bhp_5.0L_V8,nfs.fandom.com
163,585 bhp Forged 4.7L V8,https://nfs.fandom.com/wiki/585_bhp_Forged_4.7L_V8,nfs.fandom.com
164,591 bhp 3.8L V6,https://nfs.fandom.com/wiki/591_bhp_3.8L_V6,nfs.fandom.com
165,591 bhp 4.0L V8,https://nfs.fandom.com/wiki/591_bhp_4.0L_V8,nfs.fandom.com
166,592 bhp 3.8L V8,https://nfs.fandom.com/wiki/592_bhp_3.8L_V8,nfs.fandom.com
167,592 bhp 4.4L V8,https://nfs.fandom.com/wiki/592_bhp_4.4L_V8,nfs.fandom.com
168,592 bhp Forged 2.6L I6,https://nfs.fandom.com/wiki/592_bhp_Forged_2.6L_I6,nfs.fandom.com
169,596 bhp Forged 2.0L I4,https://nfs.fandom.com/wiki/596_bhp_Forged_2.0L_I4,nfs.fandom.com
170,599 bhp 2.0L I4 Hybrid,https://nfs.fandom.com/wiki/599_bhp_2.0L_I4_Hybrid,nfs.fandom.com
171,599 bhp 3.8L F6,https://nfs.fandom.com/wiki/599_bhp_3.8L_F6,nfs.fandom.com
172,5 0 1 drag test,https://nfs.fandom.com/wiki/5_0_1_drag_test,nfs.fandom.com
173,5 7 5 drag,https://nfs.fandom.com/wiki/5_7_5_drag,nfs.fandom.com
174,5th Precinct (GBA),https://nfs.fandom.com/wiki/5th_Precinct_(GBA),nfs.fandom.com
175,600 bhp 5.2L V12,https://nfs.fandom.com/wiki/600_bhp_5.2L_V12,nfs.fandom.com
176,601 bhp 5.2L V10,https://nfs.fandom.com/wiki/601_bhp_5.2L_V10,nfs.fandom.com
177,603 bhp 6.0L V12,https://nfs.fandom.com/wiki/603_bhp_6.0L_V12,nfs.fandom.com
178,612 bhp 5.2L V10,https://nfs.fandom.com/wiki/612_bhp_5.2L_V10,nfs.fandom.com
179,618 bhp 6.1L V12,https://nfs.fandom.com/wiki/618_bhp_6.1L_V12,nfs.fandom.com
