wid,name,url,domain
67,Captain Falcon/Vehicles,https://fzero.fandom.com/wiki/Captain_Falcon/Vehicles,fzero.fandom.com
68,Captain Falcon (GP Legend),https://fzero.fandom.com/wiki/Captain_Falcon_(GP_Legend),fzero.fandom.com
69,Captain Falcon (Super Smash Bros.),https://fzero.fandom.com/wiki/Captain_Falcon_(Super_Smash_Bros.),fzero.fandom.com
70,Captain Falcon Trains,https://fzero.fandom.com/wiki/Captain_Falcon_Trains,fzero.fandom.com
71,Casino Palace,https://fzero.fandom.com/wiki/Casino_Palace,fzero.fandom.com
72,Chain Reaction,https://fzero.fandom.com/wiki/Chain_Reaction,fzero.fandom.com
73,Challenge of the Bloody Chain,https://fzero.fandom.com/wiki/Challenge_of_the_Bloody_Chain,fzero.fandom.com
74,Chrono Symphony,https://fzero.fandom.com/wiki/Chrono_Symphony,fzero.fandom.com
75,Clank's Adventure,https://fzero.fandom.com/wiki/Clank%27s_Adventure,fzero.fandom.com
76,Clank Hughes,https://fzero.fandom.com/wiki/Clank_Hughes,fzero.fandom.com
77,Clank and Gazelle,https://fzero.fandom.com/wiki/Clank_and_Gazelle,fzero.fandom.com
78,Close Call! Captain Falcon,https://fzero.fandom.com/wiki/Close_Call!_Captain_Falcon,fzero.fandom.com
79,Cloud Carpet,https://fzero.fandom.com/wiki/Cloud_Carpet,fzero.fandom.com
80,Coffee Break,https://fzero.fandom.com/wiki/Coffee_Break,fzero.fandom.com
81,Cosmic Dolphin,https://fzero.fandom.com/wiki/Cosmic_Dolphin,fzero.fandom.com
82,Cosmo Terminal,https://fzero.fandom.com/wiki/Cosmo_Terminal,fzero.fandom.com
83,Crater Land,https://fzero.fandom.com/wiki/Crater_Land,fzero.fandom.com
84,Crazy Bear,https://fzero.fandom.com/wiki/Crazy_Bear,fzero.fandom.com
85,Crazy Minotaur,https://fzero.fandom.com/wiki/Crazy_Minotaur,fzero.fandom.com
86,Cups,https://fzero.fandom.com/wiki/Cups,fzero.fandom.com
87,Current events,https://fzero.fandom.com/wiki/Current_events,fzero.fandom.com
88,Cyborg,https://fzero.fandom.com/wiki/Cyborg,fzero.fandom.com
