wid,name,url,domain
66,B Team Van,https://burnout.fandom.com/wiki/B_Team_Van,burnout.fandom.com
67,Back Alley Shortcut,https://burnout.fandom.com/wiki/Back_Alley_Shortcut,burnout.fandom.com
68,Back Hans,https://burnout.fandom.com/wiki/Back_Hans,burnout.fandom.com
69,Ballistic Beach,https://burnout.fandom.com/wiki/Ballistic_Beach,burnout.fandom.com
70,Barrel Roll,https://burnout.fandom.com/wiki/Barrel_Roll,burnout.fandom.com
71,Baseball Battle,https://burnout.fandom.com/wiki/Baseball_Battle,burnout.fandom.com
72,BestBuy Car,https://burnout.fandom.com/wiki/BestBuy_Car,burnout.fandom.com
73,Big Surf,https://burnout.fandom.com/wiki/Big_Surf,burnout.fandom.com
74,Big Surf (Burnout 2),https://burnout.fandom.com/wiki/Big_Surf_(Burnout_2),burnout.fandom.com
75,Big Surf Beach,https://burnout.fandom.com/wiki/Big_Surf_Beach,burnout.fandom.com
76,Big Surf Grove,https://burnout.fandom.com/wiki/Big_Surf_Grove,burnout.fandom.com
77,Big Surf Island (location),https://burnout.fandom.com/wiki/Big_Surf_Island_(location),burnout.fandom.com
78,Big Surf Island PCPD HQ,https://burnout.fandom.com/wiki/Big_Surf_Island_PCPD_HQ,burnout.fandom.com
79,Big Surf Island Pack,https://burnout.fandom.com/wiki/Big_Surf_Island_Pack,burnout.fandom.com
80,Big Surf Shores,https://burnout.fandom.com/wiki/Big_Surf_Shores,burnout.fandom.com
81,Bike Challenges,https://burnout.fandom.com/wiki/Bike_Challenges,burnout.fandom.com
82,Billboards,https://burnout.fandom.com/wiki/Billboards,burnout.fandom.com
83,Billboards (Big Surf Island),https://burnout.fandom.com/wiki/Billboards_(Big_Surf_Island),burnout.fandom.com
84,Black Elite Racer,https://burnout.fandom.com/wiki/Black_Elite_Racer,burnout.fandom.com
85,Blue Lightning,https://burnout.fandom.com/wiki/Blue_Lightning,burnout.fandom.com
86,Bogart,https://burnout.fandom.com/wiki/Bogart,burnout.fandom.com
87,Boost,https://burnout.fandom.com/wiki/Boost,burnout.fandom.com
88,Boost (Burnout 2),https://burnout.fandom.com/wiki/Boost_(Burnout_2),burnout.fandom.com
89,Boost Meter,https://burnout.fandom.com/wiki/Boost_Meter,burnout.fandom.com
90,Boost Specials,https://burnout.fandom.com/wiki/Boost_Specials,burnout.fandom.com
91,Boost Start,https://burnout.fandom.com/wiki/Boost_Start,burnout.fandom.com
92,Boostless,https://burnout.fandom.com/wiki/Boostless,burnout.fandom.com
93,Breakable items (Burnout Paradise),https://burnout.fandom.com/wiki/Breakable_items_(Burnout_Paradise),burnout.fandom.com
94,Burning Lap (Burnout 3),https://burnout.fandom.com/wiki/Burning_Lap_(Burnout_3),burnout.fandom.com
95,Burning Lap (Burnout Dominator),https://burnout.fandom.com/wiki/Burning_Lap_(Burnout_Dominator),burnout.fandom.com
96,Burning Lap (Burnout Legends),https://burnout.fandom.com/wiki/Burning_Lap_(Burnout_Legends),burnout.fandom.com
97,Burning Lap (Burnout Revenge),https://burnout.fandom.com/wiki/Burning_Lap_(Burnout_Revenge),burnout.fandom.com
98,Burning Ride,https://burnout.fandom.com/wiki/Burning_Ride,burnout.fandom.com
99,Burning Route,https://burnout.fandom.com/wiki/Burning_Route,burnout.fandom.com
100,Burnout (disambiguation),https://burnout.fandom.com/wiki/Burnout_(disambiguation),burnout.fandom.com
101,Burnout (driving skill),https://burnout.fandom.com/wiki/Burnout_(driving_skill),burnout.fandom.com
102,Burnout (game),https://burnout.fandom.com/wiki/Burnout_(game),burnout.fandom.com
103,Burnout (mobile game),https://burnout.fandom.com/wiki/Burnout_(mobile_game),burnout.fandom.com
104,Burnout 2: Point of Impact,https://burnout.fandom.com/wiki/Burnout_2:_Point_of_Impact,burnout.fandom.com
105,Burnout 3: Takedown,https://burnout.fandom.com/wiki/Burnout_3:_Takedown,burnout.fandom.com
106,Burnout 3 Takedown Europe,https://burnout.fandom.com/wiki/Burnout_3_Takedown_Europe,burnout.fandom.com
107,Burnout 3 Takedown Far East,https://burnout.fandom.com/wiki/Burnout_3_Takedown_Far_East,burnout.fandom.com
108,Burnout 3 Takedown Usa,https://burnout.fandom.com/wiki/Burnout_3_Takedown_Usa,burnout.fandom.com
109,Burnout Anthology,https://burnout.fandom.com/wiki/Burnout_Anthology,burnout.fandom.com
110,Burnout Bikes,https://burnout.fandom.com/wiki/Burnout_Bikes,burnout.fandom.com
